Operações;BubbleSort1(Caso Médio);InsertionSort(Caso Médio);Heapsort(Caso Médio);BubbleSort1(Caso Díficil);InsertionSort(Caso Díficil);Heapsort(Caso Díficil)
1;0;0;0;0;0;0
2;1;1;3;1;2;3
3;3;2;6;3;5;7
4;6;5;11;6;9;10
5;10;9;17;10;14;18
6;15;10;22;15;20;21
7;21;13;30;21;27;25
8;28;21;40;28;35;36
9;36;25;45;36;44;44
10;45;27;53;45;54;47
11;55;38;62;55;65;51
12;66;40;69;66;77;62
13;78;47;81;78;90;74
14;91;56;92;91;104;77
15;105;65;93;105;119;85
16;120;75;108;120;135;92
17;136;85;120;136;152;100
18;153;91;129;153;170;111
19;171;96;135;171;189;123
20;190;114;149;190;209;134
21;210;122;157;210;230;138
22;231;138;168;231;252;149
23;253;144;181;253;275;157
24;276;150;194;276;299;172
25;300;175;202;300;324;172
26;325;188;215;325;350;187
27;351;192;222;351;377;199
28;378;210;232;378;405;206
29;406;227;246;406;434;214
30;435;230;256;435;464;229
31;465;250;261;465;495;237
32;496;261;280;496;527;240
33;528;301;293;528;560;252
34;561;292;302;561;594;267
35;595;326;316;595;629;279
36;630;345;329;630;665;290
37;666;341;345;666;702;294
38;703;372;357;703;740;305
39;741;409;368;741;779;317
40;780;416;377;780;819;328
41;820;437;392;820;860;344
42;861;452;404;861;902;363
43;903;505;414;903;945;379
44;946;473;429;946;989;382
45;990;548;431;990;1034;390
46;1035;582;454;1035;1080;393
47;1081;575;464;1081;1127;401
48;1128;602;481;1128;1175;412
49;1176;619;486;1176;1224;424
50;1225;673;500;1225;1274;439
51;1275;672;511;1275;1325;459
52;1326;691;533;1326;1377;466
53;1378;734;538;1378;1430;490
54;1431;747;552;1431;1484;493
55;1485;771;563;1485;1539;505
56;1540;813;580;1540;1595;512
57;1596;832;589;1596;1652;524
58;1653;851;602;1653;1710;539
59;1711;910;616;1711;1769;555
60;1770;949;633;1770;1829;558
61;1830;948;649;1830;1890;582
62;1891;947;661;1891;1952;581
63;1953;1030;674;1953;2015;605
64;2016;1022;686;2016;2079;608
65;2080;1120;704;2080;2144;628
66;2145;1095;716;2145;2210;643
67;2211;1170;728;2211;2277;647
68;2278;1187;744;2278;2345;658
69;2346;1255;755;2346;2414;662
70;2415;1320;774;2415;2484;685
71;2485;1347;789;2485;2555;689
72;2556;1312;802;2556;2627;700
73;2628;1377;816;2628;2700;716
74;2701;1431;834;2701;2774;735
75;2775;1437;851;2775;2849;743
76;2850;1509;859;2850;2925;762
77;2926;1495;870;2926;3002;778
78;3003;1588;887;3003;3080;793
79;3081;1519;894;3081;3159;789
80;3160;1627;910;3160;3239;812
81;3240;1682;928;3240;3320;820
82;3321;1755;945;3321;3402;843
83;3403;1696;959;3403;3485;847
84;3486;1821;974;3486;3569;862
85;3570;1907;992;3570;3654;870
86;3655;1873;1002;3655;3740;889
87;3741;1985;1023;3741;3827;897
88;3828;1970;1029;3828;3915;928
89;3916;2099;1051;3916;4004;940
90;4005;2059;1061;4005;4094;947
91;4095;2124;1074;4095;4185;959
92;4186;2134;1088;4186;4277;978
93;4278;2212;1104;4278;4370;978
94;4371;2199;1113;4371;4464;989
95;4465;2254;1125;4465;4559;993
96;4560;2292;1143;4560;4655;1024
97;4656;2467;1161;4656;4752;1024
98;4753;2456;1182;4753;4850;1047
99;4851;2436;1187;4851;4949;1047
100;4950;2592;1207;4950;5049;1082
101;5050;2657;1220;5050;5150;1082
102;5151;2683;1233;5151;5252;1109
103;5253;2712;1247;5253;5355;1105
104;5356;2787;1270;5356;5459;1136
105;5460;2657;1283;5460;5564;1148
106;5565;2756;1301;5565;5670;1159
107;5671;2932;1307;5671;5777;1163
108;5778;2948;1323;5778;5885;1186
109;5886;3056;1338;5886;5994;1206
110;5995;3129;1353;5995;6104;1213
111;6105;3153;1363;6105;6215;1225
112;6216;3293;1388;6216;6327;1252
113;6328;3259;1403;6328;6440;1256
114;6441;3226;1420;6441;6554;1283
115;6555;3307;1430;6555;6669;1287
116;6670;3526;1443;6670;6785;1294
117;6786;3662;1447;6786;6902;1318
118;6903;3472;1482;6903;7020;1317
119;7021;3645;1498;7021;7139;1329
120;7140;3671;1499;7140;7259;1348
121;7260;3699;1520;7260;7380;1368
122;7381;3746;1534;7381;7502;1371
123;7503;3775;1550;7503;7625;1383
124;7626;3810;1571;7626;7749;1414
125;7750;3969;1574;7750;7874;1410
126;7875;4075;1598;7875;8000;1425
127;8001;3996;1607;8001;8127;1441
128;8128;4103;1632;8128;8255;1468
129;8256;4380;1644;8256;8384;1472
130;8385;4299;1665;8385;8514;1483
131;8515;4396;1684;8515;8645;1495
132;8646;4532;1690;8646;8777;1514
133;8778;4634;1704;8778;8910;1542
134;8911;4502;1724;8911;9044;1541
135;9045;4680;1736;9045;9179;1573
136;9180;4587;1761;9180;9315;1596
137;9316;4728;1763;9316;9452;1584
138;9453;4859;1797;9453;9590;1599
139;9591;5105;1803;9591;9729;1623
140;9730;4906;1824;9730;9869;1630
141;9870;4978;1838;9870;10010;1650
142;10011;5186;1847;10011;10152;1641
143;10153;5197;1861;10153;10295;1677
144;10296;5168;1878;10296;10439;1700
145;10440;5457;1905;10440;10584;1716
146;10585;5487;1918;10585;10730;1711
147;10731;5556;1938;10731;10877;1727
148;10878;5538;1953;10878;11025;1754
149;11026;5712;1986;11026;11174;1762
150;11175;5775;1982;11175;11324;1773
151;11325;5579;1998;11325;11475;1797
152;11476;5924;2023;11476;11627;1820
153;11628;5870;2030;11628;11780;1828
154;11781;5876;2052;11781;11934;1831
155;11935;6148;2050;11935;12089;1867
156;12090;6126;2089;12090;12245;1854
157;12246;6348;2093;12246;12402;1870
158;12403;6195;2117;12403;12560;1909
159;12561;6296;2132;12561;12719;1925
160;12720;6503;2138;12720;12879;1936
161;12880;6490;2155;12880;13040;1928
162;13041;6602;2172;13041;13202;1955
163;13203;6665;2190;13203;13365;1983
